ID_LOTE,ID_FINCA,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,ESPESOR,COLOR_SECO,COLOR_HUMEDO,TEXTURA,RESIST_ROMPIMIENTO,PH_RASTA,CARBONATOS_RASTA,PROFUNDIDAD_CARBONATOS,PEDREG_SUPERF_PIEDRAS,PEDREG_SUPERF_ROCAS,PEDREG_PERFIL_PIEDRAS,PEDREG_PERFIL_ROCAS,HOR_PEDREG_ROCOSO_RASTA,HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA,HOR_PEDREG_ROCOSO_ESPESOR_RASTA,PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA (CM),CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm _RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA
971,1057,27,ONDULADO,LADERA CONVEXA,2,"18,52","3,35","ND,ND","FL,FAr","BLANDO,DURO",4.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,SI,26,30,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,22,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
974,1060,33.5,ONDULADO,LADERA CONVEXA,2,"16,54","16,35","ND,ND","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
976,1062,2,ONDULADO,CIMA,2,"13,57","17,35","ND,ND","FAr,FAr","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,SI,32,40,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
981,1067,18,ONDULADO,LADERA CONVEXA,2,"10,61","2,34","ND,ND","L,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,35,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
984,1070,42,ONDULADO,LADERA CONVEXA,2,"21,49","2,35","ND,ND","F,FL","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,42,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
986,1072,17,ONDULADO,LADERA CONVEXA,2,"17,53","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
987,1073,34,ONDULADO,LADERA PLANA,2,"53,17","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,38,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
989,1075,28.5,ONDULADO,LADERA PLANA,2,"20,51","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,32,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
990,1076,10,ONDULADO,LADERA PLANA,2,"21,49","ND,ND","2,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1005,1091,6,ONDULADO,LADERA PLANA,2,"45,25","ND,ND","3,31","FL,FL","BLANDO,BLANDO",5.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,46,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR
